1 En David, mitsgaders de oversten des heirs, scheidde af tot den dienst, van de kinderen van Asaf, en van Heman, en van Jedúthun, die met harpen, met luiten en met cimbalen profeteren zouden; en die onder hen geteld werden, waren mannen, bekwaam tot het werk van hun dienst.
2 Van de kinderen van Asaf waren Zakkur, en Jozef, en Nethánja, en Asaréla, kinderen van Asaf; aan de hand van Asaf, die aan des konings handen profeteerde.
3 Aangaande Jedúthun: de kinderen van Jedúthun waren Gedálja, en Zeri, en Jesája, Hasábja en Mattíthja, zes; aan de handen van hun vader Jedúthun, op harpen profeterende met den HEERE te danken en te loven.
4 Aangaande Heman: de kinderen van Heman waren Bukkia, Mattánja, Uzzíël, Sebúël, en Jerimôth, Hanánja, Hanáni, Eliátha, Giddálti, en Romámthi-Ezer, Josbekása, Mallóthi, Hothir, Maházioth.
5 Deze allen waren kinderen van Heman, den ziener des konings, in de woorden Gods, om den hoorn te verheffen; want God had Heman veertien zonen gegeven, en drie dochters.
6 Dezen waren altemaal aan de handen huns vaders gesteld tot het gezang van het huis des HEEREN, op cimbalen, luiten, en harpen, tot den dienst van het huis Gods, aan de handen van den koning, van Asaf, Jedúthun, en van Heman.
7 En hun getal met hun broederen, die geleerd waren in het gezang des HEEREN, allen meesters, was tweehonderd acht en tachtig.
8 En zij wierpen de loten over de wacht, tegen elkander, zo de kleinen, als de groten, den meester met den leerling.
9 Het eerste lot nu ging uit voor Asaf, namelijk voor Jozef. Het tweede voor Gedálja; hij en zijn broederen, en zijn zonen, waren twaalf.
10 Het derde voor Zakkur; zijn zonen en zijn broederen, twaalf.
11 Het vierde voor Jizri; zijn zonen en zijn broederen, twaalf.
12 Het vijfde voor Nethánja; zijn zonen en zijn broederen, twaalf.
13 Het zesde voor Bukkia; zijn zonen en zijn broederen, twaalf.
14 Het zevende voor Jesaréla; zijn zonen en zijn broederen, twaalf.
15 Het achtste voor Jesája; zijn zonen en zijn broederen, twaalf.
16 Het negende voor Mattánja; zijn zonen en zijn broederen, twaalf.
17 Het tiende voor Simeï; zijn zonen en zijn broederen, twaalf.
18 Het elfde voor Azáreël; zijn zonen en zijn broederen, twaalf.
19 Het twaalfde voor Hasábja; zijn zonen en zijn broederen, twaalf.
20 Het dertiende voor Súbaël; zijn zonen en zijn broederen, twaalf.
21 Het veertiende voor Mattíthja; zijn zonen en zijn broederen, twaalf.
22 Het vijftiende voor Jerémôth; zijn zonen en zijn broederen, twaalf.
23 Het zestiende voor Hanánja; zijn zonen en zijn broederen, twaalf.
24 Het zeventiende voor Josbekása; zijn zonen en zijn broederen, twaalf.
25 Het achttiende voor Hanáni; zijn zonen en zijn broederen, twaalf.
26 Het negentiende voor Mallóthi; zijn zonen en zijn broederen; twaalf.
27 Het twintigste voor Eliátha; zijn zonen en zijn broederen; twaalf.
28 Het een en twintigste voor Hothir; zijn zonen en zijn broederen, twaalf.
29 Het twee en twintigste voor Giddálti; zijn zonen en zijn broederen, twaalf.
30 Het drie en twintigste voor Maházioth; zijn zonen en zijn broederen, twaalf.
31 Het vier en twintigste voor Romámthi-Ezer; zijn zonen en zijn broederen, twaalf.
