1 Och David jämte härhövitsmännen avskilde till tjänstgöring Asafs, Hemans och Jedutuns söner, som hade profetisk anda till att spela på harpor, psaltare och cymbaler. Och detta är förteckningen på dem, på de män som fingo denna tjänstgöring till åliggande.
2 Av Asafs söner: Sackur, Josef, Netanja och Asarela, Asafs söner, under ledning av Asaf, som hade profetisk anda till att spela, under konungens ledning.
3 Av Jedutun: Jedutuns söner Gedalja, Seri, Jesaja, Hasabja och Mattitja, tillsammans sex, med harpor, under ledning av sin fader Jedutun, som hade profetisk anda till att spela tack- och lovsånger till HERREN.
4 Av Heman: Hemans söner Buckia, Mattanja, Ussiel, Sebuel och Jerimot, Hananja, Hanani, Eliata, Giddalti och Romamti-Eser, Josbekasa, Malloti, Hotir, Mahasiot.
5 Alla dessa voro söner till Heman, som var konungens siare, enligt det löfte Gud hade givit, att han ville upphöja hans horn; därför gav Gud Heman fjorton söner och tre döttrar.
6 Alla dessa stodo var och en under sin faders ledning, när de utförde sången i HERRENS hus till cymbaler, psaltare och harpor och så gjorde tjänst i Guds hus; de stodo under konungens, Asafs, Jedutuns och Hemans ledning.
7 Och antalet av dem jämte deras bröder, av dem som hade blivit undervisade i sången till HERREN ära, alla de däri kunniga, utgjorde två hundra åttioåtta.
8 Och de kastade lott om tjänstgöringen, alla, den minste likasåväl som den störste, den kunnige jämte lärjungen.1 Krön. 24,31
9 Den första lotten kom ut för Asaf och föll på Josef; den andre blev Gedalja, han själv med sina bröder och söner, tillsammans tolv;
10 den tredje blev Sackur, med sin söner och bröder, tillsammans tolv
11 den fjärde lotten kom ut för Jisri, med hans söner och bröder, tillsammans tolv;
12 den femte blev Netanja, med sina söner och bröder, tillsammans tolv;
13 den sjätte blev Buckia, med sina söner och bröder, tillsammans tolv;
14 den sjunde blev Jesarela, med sina söner och bröder, tillsammans tolv;
15 den åttonde blev Jesaja, med sin söner och bröder, tillsammans tolv
16 den nionde blev Mattanja, med sina söner och bröder, tillsammans tolv;
17 den tionde blev Simei, med sina söner och bröder, tillsammans tolv
18 den elfte blev Asarel, med sin söner och bröder, tillsammans tolv
19 den tolfte lotten kom ut för Hasabja, med hans söner och bröder tillsammans tolv;
20 den trettonde blev Subael, med sina söner och bröder, tillsammans tolv;
21 den fjortonde blev Mattitja, med sina söner och bröder, tillsammans tolv;
22 den femtonde lotten kom ut för Jeremot, med hans söner och bröder, tillsammans tolv;
23 den sextonde för Hananja, med hans söner och bröder, tillsammans tolv;
24 den sjuttonde för Josbekasa, med hans söner och bröder, tillsammans tolv;
25 den adertonde för Hanani, med hans söner och bröder, tillsammans tolv;
26 den nittonde för Malloti, med hans söner och bröder, tillsammans tolv;
27 den tjugonde för Elijata, med hans söner och bröder, tillsammans tolv;
28 den tjuguförsta för Hotir, med hans söner och bröder, tillsammans tolv;
29 den tjuguandra för Giddalti, med hans söner och bröder, tillsammans tolv;
30 den tjugutredje för Mahasiot, med hans söner och bröder, tillsammans tolv;
31 den tjugufjärde för Romamti-Eser, med hans söner och bröder, tillsammans tolv.
