1 கள்ளத்தராசு யெகோவாவுக்கு அருவருப்பானது; சரியான நிறைகல்லோ அவருக்குப் பிரியம்.
2 அகந்தை வந்தால் அவமானமும் வரும்; தாழ்ந்த சிந்தை உள்ளவர்களிடத்தில் ஞானம் உண்டு.
3 செம்மையானவர்களுடைய உத்தமம் அவர்களை நடத்தும்; துரோகிகளின் மாறுபாடோ அவர்களைப் பாழாக்கும்.
4 கோபாக்கினை நாளில் செல்வம் உதவாது; நீதியோ மரணத்திற்குத் தப்புவிக்கும்.
5 உத்தமனுடைய நீதி அவன் வழியைச் செம்மைப்படுத்தும்; துன்மார்க்கனோ தன்னுடைய துன்மார்க்கத்தினால் விழுவான்.
6 செம்மையானவர்களுடைய நீதி அவர்களைத் தப்புவிக்கும்; துரோகிகளோ தங்களுடைய தீவினையிலே பிடிபடுவார்கள்.
7 துன்மார்க்கன் மரணமடையும்போது அவனுடைய நம்பிக்கை அழியும்; அக்கிரமக்காரர்களின் எதிர்பார்ப்பு கெட்டுப்போகும்.
8 நீதிமான் இக்கட்டிலிருந்து விடுவிக்கப்படுவான்; அவன் இருந்த இடத்திலே துன்மார்க்கன் வருவான்.
9 மாயக்காரன் தனக்கு அடுத்தவனை வாயினால் கெடுக்கிறான்; நீதிமானோ அறிவினால் தப்புகிறான்.
10 நீதிமான்கள் நன்றாக இருந்தால் பட்டணம் சந்தோஷமாக இருக்கும்; துன்மார்க்கர்கள் அழிந்தால் கெம்பீரம் உண்டாகும்.
11 செம்மையானவர்களுடைய ஆசீர்வாதத்தினால் பட்டணம் நிலைபெற்று ஓங்கும்; துன்மார்க்கர்களுடைய வாயினால் அது இடிந்துவிழும்.
12 மதிகெட்டவன் பிறனை அவமதிக்கிறான்; புத்திமானோ தன்னுடைய வாயை அடக்கிக்கொண்டிருக்கிறான்.
13 புறங்கூறித் திரிகிறவன் இரகசியத்தை வெளிப்படுத்துகிறான்; ஆவியில் உண்மையுள்ளவனோ காரியத்தை அடக்குகிறான்.
14 ஆலோசனையில்லாத இடத்தில் மக்கள் விழுந்துபோவார்கள்; அநேக ஆலோசனைக்காரர்கள் உண்டானால் சுகம் உண்டாகும்.
15 அந்நியனுக்காகப் பிணைப்படுகிறவன் மிகுந்த பாடுபடுவான்; பிணைப்படுவதை வெறுப்பவன் சுகமாக இருப்பான்.
16 நல்லொழுக்கமுள்ள பெண் மானத்தைக் காப்பாள்; பலசாலிகள் செல்வத்தைக் காப்பார்கள்.
17 தயவுள்ள மனிதன் தன்னுடைய ஆத்துமாவுக்கு நன்மை செய்துகொள்ளுகிறான்; கொடூரனோ தன்னுடைய உடலை அலைக்கழிக்கிறான்.
18 துன்மார்க்கன் வீண்வேலையைச் செய்கிறான்; நீதியை விதைக்கிறவனோ மெய்ப்பலனைப் பெறுவான்.
19 நீதி வாழ்வுக்கு ஏதுவாகிறதுபோல, தீமையைப் பின்தொடருகிறவன் மரணத்திற்கு ஏதுவாகிறான்.
20 மாறுபாடுள்ள இருதயமுடையவர்கள் யெகோவாவுக்கு அருவருப்பானவர்கள்; உத்தம வழியில் நடக்கிறவர்களோ அவருக்குப் பிரியமானவர்கள்.
21 கையோடு கைகோர்த்தாலும், கெட்டவன் தண்டனைக்குத் தப்பான்; நீதிமான்களுடைய சந்ததியோ விடுவிக்கப்படும்.
22 மதிகேடாக நடக்கிற அழகுள்ள பெண், பன்றியின் மூக்கிலுள்ள பொன் மூக்குத்திக்குச் சமம்.
23 நீதிமான்களுடைய ஆசை நன்மையே; துன்மார்க்கர்களுடைய நம்பிக்கையோ கோபத்தின் தண்டனையாக முடியும்.
24 வாரி இறைத்தும் விருத்தியடைந்தவர்களும் உண்டு; அதிகமாக தனக்கென்று மட்டும் வைத்துக்கொண்டும் வறுமையடைபவர்களும் உண்டு.
25 உதாரகுணமுள்ள ஆத்துமா செழிக்கும்; எவன் தண்ணீர் பாய்ச்சுகிறானோ அவனுக்குத் தண்ணீர் பாய்ச்சப்படும்.
26 தானியத்தைக் கட்டிவைக்கிறவனை மக்கள் சபிப்பார்கள்; விற்கிறவனுடைய தலையின்மேல் ஆசீர்வாதம் தங்கும்.
27 நன்மையை ஜாக்கிரதையுடன் தேடுகிறவன் தயையைப் பெறுவான்; தீமையைத் தேடுகிறவனுக்கோ தீமையே வரும்.
28 தன்னுடைய செல்வத்தை நம்புகிறவன் விழுவான்; நீதிமான்களோ துளிரைப்போல தழைப்பார்கள்.
29 தன்னுடைய வீட்டைக் கலைக்கிறவன் காற்றைச் சுதந்தரிப்பான்; மூடன் ஞானமுள்ளவனுக்கு அடிமையாவான்.
30 நீதிமானுடைய பலன் ஜீவமரம்; ஆத்துமாக்களை ஆதாயப்படுத்திக்கொள்ளுகிறவன் ஞானமுள்ளவன்.
31 இதோ, நீதிமானுக்கு பூமியில் சரிக்கட்டப்படுமே; துன்மார்க்கனுக்கும் பாவிக்கும் எத்தனை அதிகம்.
